字符	一简86	一86全码	字符	二简86	二86全码	字符	一简98	一98全码	字符	二简98	二98全码
			亵	yr	yrve				市	ym	ymhj
			订	ys	ysh				高	ym	ymkf
			床	ys	ysi				调	ym	ymfk
			麻	ys	yssi				记	yn	ynn
			放	yt	yty				望	yn	yneg
			话	yt	ytdg				房	yn	ynye
			许	yt	ytfh				亦	yo	you
			说	yu	yukq				变	yo	yocu
			详	yu	yudh				谈	yo	yooy
			谦	yu	yuvo				亮	yp	ypwb
			良	yv	yvei				毫	yp	ypeb
			唐	yv	yvhk				豪	yp	ypge
			郎	yv	yvcb				询	yq	yqjg
			认	yw	ywy				诡	yq	yqdb
			论	yw	ywxn				谄	yq	yqeg
			谁	yw	ywyg				义	yr	yri
			率	yx	yxif				离	yr	yrbc
			玄	yx	yxu				诉	yr	yryy
			畜	yx	yxlf				订	ys	ysh
			方	yy	yygn				谭	ys	ysjh
			文	yy	yygy				谏	ys	yslg
			该	yy	yynw				放	yt	yty
									话	yt	ytdg
									许	yt	ytfh
									详	yu	yuh
									商	yu	yumk
									旁	yu	yupy
									良	yv	yvi
									郎	yv	yvbh
									朗	yv	yveg
									认	yw	ywy
									设	yw	ywcy
									论	yw	ywxn
									率	yx	yxif
									玄	yx	yxu
									畜	yx	yxlf
									方	yy	yygt
									文	yy	yygy
									该	yy	yynw
